Pid,Latitude,Longitude
0_44_0,40.750794799423865,-73.99357639021292
0_45_1,40.75280620914171,-73.97717535495758
1_18_2,40.645089355976346,-73.7845230102539
2_44_3,40.75722129839836,-73.99154663085938
1_57_4,40.773839,-73.87122
0_34_5,40.707149,-73.99057
3_44_6,40.74218830848454,-73.98792418909154
4_44_7,40.76117085825042,-74.01128768920898
0_38_8,40.69902344282463,-73.81001472473143
5_44_9,40.756489872673846,-73.98626804351807
3_44_10,40.73528249691621,-73.99040315158283
6_66_11,40.82827721161922,-73.92655344439045
7_15_12,40.65016889724004,-73.94957542419434
1_31_13,40.68968493541091,-74.17938709259033
8_45_14,40.76224486711165,-73.9792871763928
9_34_15,40.705888200473375,-73.9900016784668
7_35_16,40.71343536379427,-73.95807266235352
10_5_17,40.57334843776636,-73.98030281066895
0_33_18,40.71948548899754,-74.0427017211914
11_35_19,40.68990542829335,-73.95177657844081
3_44_20,40.75372797263211,-73.98368835767094
12_58_21,40.78782018739577,-73.79104614257812
13_45_22,40.76391920774746,-73.9731399591735
14_44_23,40.73169799836348,-73.98922693741638
9_34_24,40.705953265881305,-73.99656772613525
15_83_25,40.917335441802095,-74.0756607055664
0_55_26,40.805144639820114,-73.93914699554443
16_94_27,40.94175914870915,-74.01238511084367
12_35_28,40.71430985040704,-73.94939443218914
17_93_29,40.962451,-74.092604
18_44_30,40.75061379403183,-73.98856401443481
3_25_31,40.66390776998241,-73.970947265625
19_13_32,40.6444055420497,-74.0729570388794
11_45_33,40.75047562272483,-73.94028425216675
20_44_34,40.73416736029532,-73.99048715829849
20_44_35,40.7569743825982,-73.98877355904663
11_44_36,40.75650612666626,-73.98802757263184
3_55_37,40.7714256153356,-73.97350072860723
21_34_38,40.71370599034548,-74.01420126337966
22_44_39,40.74109555804945,-73.99270534515381
11_26_40,40.67837610578439,-73.90339851379395
6_47_41,40.75645736467708,-73.8460636138916
23_22_42,40.66130995253368,-74.11637130665052
20_55_43,40.77486674679395,-73.98179484046595
24_44_44,40.74186151409088,-73.98943362953369
6_44_45,40.75044987008408,-73.99221103886612
9_3_46,40.60679958140643,-74.04416981025437
5_45_47,40.76803326982161,-73.98186922073364
7_44_48,40.741672705942285,-73.98928821086884
3_44_49,40.73083612189599,-73.99764060974121
25_27_50,40.67289579742284,-73.87072127459737
26_44_51,40.74828059076867,-73.98556262254715
11_5_52,40.57745558120849,-73.98124694824219
3_44_53,40.74706188749892,-74.00519371032715
27_45_54,40.74167304814132,-73.97428784381152
21_38_55,40.70956429635586,-73.79806280136108
11_55_56,40.78577311803029,-73.9509916305542
21_44_57,40.74119771684408,-74.00239165956324
28_27_58,40.67284025644557,-73.8707270170631
11_44_59,40.73573434642415,-73.99056762456905
0_41_60,40.73420076077984,-74.16483829470191
9_75_61,40.85121557428245,-73.95206451416016
29_27_62,40.67287551105413,-73.8706983047328
16_41_63,40.76597116277859,-74.16509908485864
1_18_64,40.64557779020594,-73.77643346786499
30_44_65,40.76362499327396,-73.99757623672485
12_33_66,40.72768968623147,-74.04474020004272
22_44_67,40.738949,-73.989828
11_34_68,40.71037756449118,-74.00755405426025
0_43_69,40.732267009830224,-74.06304359436035
16_46_70,40.767237460001375,-73.89482953406639
9_35_71,40.713565479798646,-73.97236347198486
11_65_72,40.82650767315227,-73.95039081573486
11_66_73,40.816188,-73.917947
11_34_74,40.7255768,-74.004252
0_34_75,40.71267092713338,-74.01193141937256
31_34_76,40.7117844949098,-74.00208234786987
16_36_77,40.716161684843215,-73.88307005845945
12_58_78,40.787855984049095,-73.79333210698177
