Pid,Latitude,Longitude
0_57_0,35.698596195264464,139.77301824864617
0_55_1,35.69080269423021,139.70027922656513
0_65_2,35.729864636451765,139.7109555727517
0_45_3,35.65852172695124,139.7013260344949
0_46_4,35.68137872227962,139.76608157157898
0_36_5,35.63014572966312,139.74042892456055
0_57_6,35.71362076736724,139.77651776270966
1_57_7,35.69901541704127,139.7746217250824
0_5_8,35.53132692901326,139.69690203666687
0_46_9,35.666692051408944,139.7581327376774
0_36_10,35.645731813210055,139.7475689649582
0_75_11,35.77806243973507,139.72083806991577
0_52_12,35.70270629939949,139.56082955002785
0_36_13,35.628121197991504,139.73798198030258
0_67_14,35.74964694346383,139.80514526367188
0_26_15,35.619699172885795,139.72855277359486
0_55_16,35.712902440367635,139.7038972377777
0_45_17,35.65819631197759,139.70203042030334
0_36_18,35.65561813580688,139.75674211978912
0_31_19,35.651889113311164,139.5443956553936
0_67_20,35.7277712437567,139.77096319198608
0_52_21,35.70320181647976,139.57990407943726
0_56_22,35.70230879446056,139.7450315952301
0_54_23,35.70582855009322,139.66579914093018
0_14_24,35.575729760171434,139.65965151786804
0_56_25,35.699583,139.765222
0_56_26,35.7021955324165,139.7551703453064
0_16_27,35.58843420093637,139.7279191017151
0_15_28,35.56247782390475,139.7160503268242
0_94_29,35.84768054178072,139.66914921998978
0_20_30,35.60375363356726,139.50759172439575
0_45_31,35.68971829766635,139.69925165176392
0_36_32,35.6282272323851,139.73871231079102
0_58_33,35.6964320244761,139.81394290924072
0_35_34,35.64687830575068,139.7099483013153
0_26_35,35.60713179761434,139.73477387338818
0_50_36,35.70025262768564,139.48025465011597
0_65_37,35.729025427145416,139.71109628677368
0_15_38,35.562387290697124,139.71595281921518
0_24_39,35.60753807817138,139.6688391408238
0_65_40,35.73035579800958,139.7105571627617
0_44_41,35.67374424018757,139.66725826263428
0_57_42,35.691670172683054,139.7708773612976
0_4_43,35.55319972801149,139.64681446552277
0_45_44,35.65874546666904,139.6991221965708
0_45_45,35.69034569127357,139.6997880935669
2_45_46,35.6589002289608,139.7032642364502
3_7_47,35.55137976854632,139.78840827941897
0_45_48,35.67067629738875,139.70252394676208
0_35_49,35.63367738834909,139.71551656723022
0_46_50,35.674963187966185,139.7634733873651
0_54_51,35.70537552095303,139.64986145496368
0_23_52,35.59974085378926,139.6102237701416
0_38_53,35.64592362299403,139.8269248008728
0_35_54,35.62645040122807,139.72343981266022
0_37_55,35.63440986098353,139.79161351919174
0_57_56,35.698494824429865,139.7725135087967
0_40_57,35.672195030970535,139.48046654462814
0_22_58,35.62081442397418,139.56971168518066
4_45_59,35.66511535050908,139.71245884895325
0_25_60,35.60743038445974,139.68562066555023
5_37_61,35.62986667837494,139.79426622390747
0_58_62,35.71048066190842,139.8133099079132
0_66_63,35.732117253229084,139.76670384407043
0_14_64,35.57490948663387,139.663245677948
0_57_65,35.69867779460533,139.77422207593918
0_57_66,35.6961052825236,139.79252815246582
0_66_67,35.73792607790286,139.76102828979492
4_57_68,35.6955607096278,139.77587163448334
0_85_69,35.80191699809086,139.71758723258972
4_57_70,35.69807224884871,139.77548003196716
0_56_71,35.695965872216426,139.75806713104248
0_44_72,35.66158508135192,139.66747283935547
6_57_73,35.7007383583069,139.7718831896782
0_85_74,35.81565557422877,139.70435857772827
0_59_75,35.71678758588956,139.8582637310028
0_36_76,35.62850802377022,139.73833131832686
4_47_77,35.67983619744879,139.7800612449646
0_37_78,35.62752522528485,139.77879524230957
0_82_79,35.815446772620184,139.58718359470367
0_82_80,35.81474644203188,139.5868364378428
0_45_81,35.68417610648677,139.70206260681152
0_45_82,35.688958355514494,139.70000973651244
0_55_83,35.7129459968605,139.70402598381042
0_61_84,35.75136215528522,139.54591770690126
0_23_85,35.59902114917961,139.61120009422302
7_57_86,35.70093221409643,139.77065205574036
0_45_87,35.65948427920908,139.70020651817322
0_66_88,35.73345382441255,139.7394838131754
0_35_89,35.6443150221341,139.69909071922302
